transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
54,27,2549,2017-02-09 00:00:00,1,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1994-07-12 00:00:00
55,0,3140,2017-09-18 00:00:00,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10 00:00:00
56,47,3406,2017-11-14 00:00:00,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1997-02-09 00:00:00
57,94,2294,2017-08-30 00:00:00,1,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09 00:00:00
58,91,1031,2017-11-14 00:00:00,0,Approved,Solex,Standard,medium,medium,100.35,75.26,1999-07-26 00:00:00
59,93,993,2017-02-15 00:00:00,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02 00:00:00
60,60,3473,2017-12-18 00:00:00,0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2014-07-28 00:00:00
61,0,1839,2017-02-24 00:00:00,0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-10-02 00:00:00
62,33,1824,2017-12-18 00:00:00,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11 00:00:00
63,35,368,2017-12-17 00:00:00,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14 00:00:00
64,0,2000,2017-07-08 00:00:00,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2006-11-10 00:00:00
65,28,825,2017-05-16 00:00:00,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,2016-11-22 00:00:00
66,86,3315,2017-02-23 00:00:00,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1999-07-26 00:00:00
67,2,75,2017-07-03 00:00:00,1,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02 00:00:00
68,4,1498,2017-09-30 00:00:00,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2004-09-28 00:00:00
69,38,1612,2017-10-21 00:00:00,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15 00:00:00
70,27,2192,2017-05-06 00:00:00,1,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23 00:00:00
71,54,419,2017-01-03 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12 00:00:00
72,77,3307,2017-05-09 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09 00:00:00
73,22,2430,2017-07-23 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15 00:00:00
74,56,1506,2017-01-21 00:00:00,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-04 00:00:00
75,58,1346,2017-06-20 00:00:00,0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18 00:00:00
76,22,927,2017-03-10 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1991-11-10 00:00:00
77,50,763,2017-06-02 00:00:00,0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16 00:00:00
78,80,2397,2017-11-07 00:00:00,0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1998-12-16 00:00:00
79,87,102,2017-09-12 00:00:00,1,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,1997-08-25 00:00:00
80,15,2884,2017-12-16 00:00:00,0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07 00:00:00
81,84,759,2017-10-07 00:00:00,1,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02 00:00:00
82,21,773,2017-04-27 00:00:00,1,Approved,Solex,Standard,medium,large,1071.23,380.74,2011-05-07 00:00:00
83,0,3398,2017-04-01 00:00:00,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2003-01-05 00:00:00
84,33,3297,2017-11-02 00:00:00,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11 00:00:00
85,84,2434,2017-02-13 00:00:00,1,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2004-12-18 00:00:00
86,1,1861,2017-07-19 00:00:00,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2004-09-28 00:00:00
87,27,1233,2017-05-23 00:00:00,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1991-08-05 00:00:00
88,31,1390,2017-08-06 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1993-04-20 00:00:00
89,0,2682,2017-04-04 00:00:00,1,Approved,OHM Cycles,Road,high,large,12.01,7.21,2010-05-05 00:00:00
90,62,439,2017-08-15 00:00:00,1,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23 00:00:00
91,17,1579,2017-04-15 00:00:00,1,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-04-05 00:00:00
92,73,2984,2017-07-25 00:00:00,1,Approved,Solex,Standard,medium,medium,1945.43,333.18,2000-05-22 00:00:00
93,33,3470,2017-11-28 00:00:00,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1999-12-04 00:00:00
94,86,1,2017-12-23 00:00:00,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-10 00:00:00
95,45,757,2017-02-26 00:00:00,0,Approved,Solex,Standard,medium,medium,441.49,84.99,1993-04-12 00:00:00
96,1,1778,2017-02-21 00:00:00,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-04-16 00:00:00
97,80,211,2017-05-31 00:00:00,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2004-12-18 00:00:00
99,95,32,2017-03-26 00:00:00,0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2003-09-10 00:00:00
100,0,119,2017-07-31 00:00:00,0,Approved,Solex,Standard,medium,medium,478.16,298.72,1998-12-17 00:00:00
101,18,2347,2017-07-27 00:00:00,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10 00:00:00
102,4,2353,2017-04-14 00:00:00,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2011-04-16 00:00:00
103,33,788,2017-11-12 00:00:00,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11 00:00:00
104,78,1468,2017-09-12 00:00:00,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25 00:00:00
105,89,821,2017-10-26 00:00:00,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2013-06-09 00:00:00
106,70,2489,2017-02-15 00:00:00,0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11 00:00:00
107,79,2710,2017-12-22 00:00:00,0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2003-09-09 00:00:00
108,26,947,2017-10-11 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-26 00:00:00
109,39,1335,2017-03-27 00:00:00,1,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2006-10-01 00:00:00
110,36,1076,2017-11-04 00:00:00,0,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19 00:00:00
111,0,3320,2017-06-11 00:00:00,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17 00:00:00
112,84,779,2017-10-09 00:00:00,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02 00:00:00
113,98,3296,2017-06-07 00:00:00,1,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1991-05-06 00:00:00
114,75,455,2017-10-24 00:00:00,1,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-09 00:00:00
115,76,1779,2017-05-01 00:00:00,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2005-05-10 00:00:00
116,72,2703,2017-11-21 00:00:00,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2011-01-10 00:00:00
117,42,806,2017-03-24 00:00:00,0,Approved,OHM Cycles,Road,medium,small,1810,1610.9,1993-04-12 00:00:00
118,20,22,2017-03-21 00:00:00,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2010-05-05 00:00:00
119,64,1591,2017-02-20 00:00:00,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2005-10-22 00:00:00
120,0,678,2017-06-16 00:00:00,0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11 00:00:00
121,25,50,2017-12-04 00:00:00,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1992-10-11 00:00:00
122,24,1038,2017-12-01 00:00:00,1,Approved,Solex,Road,medium,large,1777.8,820.78,1993-05-26 00:00:00
123,31,1453,2017-03-05 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2015-08-02 00:00:00
124,98,1339,2017-03-21 00:00:00,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-09 00:00:00
125,22,3382,2017-01-03 00:00:00,1,Approved,Solex,Standard,medium,medium,575.27,431.45,2013-03-12 00:00:00
126,53,773,2017-04-01 00:00:00,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2003-07-21 00:00:00
127,84,2503,2017-03-16 00:00:00,1,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2005-05-10 00:00:00
128,25,1057,2017-02-26 00:00:00,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04 00:00:00
129,50,1397,2017-06-05 00:00:00,0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2015-10-18 00:00:00
130,44,2134,2017-09-04 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09 00:00:00
131,96,2403,2017-01-18 00:00:00,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10 00:00:00
132,12,1937,2017-09-28 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17 00:00:00
133,93,1282,2017-09-02 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2002-10-10 00:00:00
134,78,2183,2017-05-09 00:00:00,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1991-07-10 00:00:00
135,84,1788,2017-10-17 00:00:00,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2006-05-22 00:00:00
136,65,1170,2017-04-25 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-04-11 00:00:00
138,29,1940,2017-08-02 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2000-11-03 00:00:00
139,32,2073,2017-03-25 00:00:00,0,Cancelled,Giant Bicycles,Standard,high,medium,1179,707.4,2000-11-03 00:00:00
140,11,462,2017-01-01 00:00:00,0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2016-07-09 00:00:00
141,10,2728,2017-12-22 00:00:00,0,Approved,Solex,Standard,medium,medium,1945.43,333.18,2002-08-31 00:00:00
142,46,2053,2017-12-25 00:00:00,0,Approved,Solex,Standard,low,medium,1289.85,74.51,2012-06-04 00:00:00
143,60,2135,2017-01-26 00:00:00,1,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2012-05-18 00:00:00
144,92,1217,2017-12-20 00:00:00,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21 00:00:00
145,7,2992,2017-06-07 00:00:00,1,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,2005-12-07 00:00:00
146,41,3261,2017-04-06 00:00:00,1,Approved,Solex,Road,medium,medium,416.98,312.74,1997-05-10 00:00:00
147,67,2748,2017-04-25 00:00:00,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22 00:00:00
148,14,3262,2017-01-13 00:00:00,0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,2003-08-05 00:00:00
149,89,788,2017-03-21 00:00:00,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-20 00:00:00
150,9,3067,2017-11-21 00:00:00,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,1994-09-09 00:00:00
151,31,701,2017-11-11 00:00:00,0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2003-03-18 00:00:00
152,92,648,2017-10-16 00:00:00,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2000-11-03 00:00:00
153,37,3286,2017-08-19 00:00:00,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20 00:00:00
154,3,3383,2017-04-06 00:00:00,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2011-08-29 00:00:00
155,56,982,2017-11-04 00:00:00,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,2016-02-04 00:00:00
156,14,676,2017-08-22 00:00:00,1,Approved,Solex,Standard,high,large,1842.92,1105.75,2003-09-09 00:00:00
157,6,385,2017-09-15 00:00:00,1,Approved,Solex,Standard,high,medium,748.17,448.9,2015-04-11 00:00:00
158,50,1229,2017-03-01 00:00:00,1,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2009-04-12 00:00:00
159,10,3232,2017-08-16 00:00:00,0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2013-03-12 00:00:00
161,69,2381,2017-07-10 00:00:00,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2015-04-11 00:00:00
162,78,371,2017-12-11 00:00:00,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25 00:00:00
163,80,2519,2017-05-20 00:00:00,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2015-08-10 00:00:00
164,17,2264,2017-07-30 00:00:00,0,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-11-09 00:00:00
165,3,2637,2017-10-25 00:00:00,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2005-08-09 00:00:00
166,78,3262,2017-11-27 00:00:00,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25 00:00:00
168,87,2267,2017-02-02 00:00:00,0,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,1997-08-25 00:00:00
169,97,456,2017-05-02 00:00:00,0,Approved,Solex,Standard,medium,large,202.62,151.96,2004-01-16 00:00:00
171,100,3121,2017-10-22 00:00:00,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,1991-05-06 00:00:00
172,55,2365,2017-04-11 00:00:00,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,1991-01-21 00:00:00
173,100,2528,2017-11-16 00:00:00,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,1991-05-06 00:00:00
174,10,3151,2017-12-17 00:00:00,0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,1994-09-09 00:00:00
175,25,3241,2017-12-23 00:00:00,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-11-22 00:00:00
176,74,1335,2017-03-30 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2003-09-09 00:00:00
177,90,2234,2017-04-13 00:00:00,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10 00:00:00
178,56,3226,2017-07-25 00:00:00,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-04 00:00:00
179,62,1365,2017-01-31 00:00:00,0,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23 00:00:00
180,20,3349,2017-03-18 00:00:00,1,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2010-05-05 00:00:00
181,17,1002,2017-02-24 00:00:00,0,Approved,Solex,Standard,high,medium,1024.66,614.8,2011-05-07 00:00:00
182,16,2282,2017-02-18 00:00:00,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,2013-03-12 00:00:00
183,46,2656,2017-01-07 00:00:00,0,Approved,Solex,Standard,low,medium,1289.85,74.51,2012-06-04 00:00:00
184,71,2409,2017-07-05 00:00:00,1,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24 00:00:00
185,91,1711,2017-11-19 00:00:00,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2004-07-25 00:00:00
186,17,2582,2017-11-08 00:00:00,1,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-11-09 00:00:00
187,1,1005,2017-07-24 00:00:00,1,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-09 00:00:00
188,3,1597,2017-01-15 00:00:00,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15 00:00:00
189,56,2713,2017-01-12 00:00:00,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1993-06-23 00:00:00
190,37,1435,2017-11-27 00:00:00,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2011-05-09 00:00:00
191,34,1477,2017-06-30 00:00:00,1,Approved,Norco Bicycles,Road,high,large,774.53,464.72,2008-03-19 00:00:00
192,0,1614,2017-07-15 00:00:00,1,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2006-11-10 00:00:00
193,12,1254,2017-06-22 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2009-03-08 00:00:00
194,25,1423,2017-05-02 00:00:00,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2011-01-10 00:00:00
195,81,276,2017-12-27 00:00:00,0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-10 00:00:00
196,19,1315,2017-12-21 00:00:00,1,Approved,OHM Cycles,Road,high,large,12.01,7.21,1999-06-23 00:00:00
197,45,591,2017-05-23 00:00:00,1,Approved,Solex,Standard,medium,medium,441.49,84.99,1993-04-12 00:00:00
198,74,1017,2017-02-02 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,2014-07-28 00:00:00
199,33,2123,2017-06-08 00:00:00,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11 00:00:00
200,57,2889,2017-04-15 00:00:00,1,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1993-06-23 00:00:00
201,0,3208,2017-09-05 00:00:00,1,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2012-06-04 00:00:00
202,23,2406,2017-02-26 00:00:00,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,2006-11-10 00:00:00
203,67,2041,2017-07-29 00:00:00,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22 00:00:00
204,81,1598,2017-07-03 00:00:00,1,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-10 00:00:00
205,58,1842,2017-05-27 00:00:00,1,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18 00:00:00
206,5,141,2017-05-05 00:00:00,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2005-08-09 00:00:00
207,94,1321,2017-09-09 00:00:00,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09 00:00:00
208,51,183,2017-05-21 00:00:00,0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2012-04-10 00:00:00
209,59,2591,2017-09-22 00:00:00,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-01-05 00:00:00
210,63,3356,2017-04-12 00:00:00,1,Approved,Solex,Standard,medium,medium,1483.2,99.59,1992-10-02 00:00:00
211,40,766,2017-05-07 00:00:00,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02 00:00:00
212,80,1596,2017-01-13 00:00:00,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2005-10-22 00:00:00
213,82,520,2017-12-14 00:00:00,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10 00:00:00
214,46,868,2017-03-22 00:00:00,1,Approved,Solex,Standard,low,medium,1289.85,74.51,2012-04-10 00:00:00
215,78,2999,2017-09-30 00:00:00,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2015-08-10 00:00:00
216,72,352,2017-11-29 00:00:00,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06 00:00:00
217,75,1140,2017-06-09 00:00:00,0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2004-07-25 00:00:00
218,40,621,2017-04-21 00:00:00,0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2003-07-21 00:00:00
219,2,3307,2017-11-13 00:00:00,0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-05 00:00:00
220,10,1502,2017-04-09 00:00:00,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2013-03-12 00:00:00
